time,dx,dy
2000,-4,-1
2000,-5,-1
2000,-5,-1
2000,-5,0
2000,-4,-1
2000,-6,-2
2000,-4,-1
2000,-5,-1
2000,-4,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-4,-2
2000,-5,-1
2000,-5,-1
2000,-4,-2
2000,-4,-1
2000,-5,-1
2000,-3,0
2000,-4,-1
2000,-5,-1
2000,-5,-2
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-4,-2
2000,-6,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-4,-1
2000,-5,-2
2000,-5,-1
2000,-4,-2
2000,-5,-1
2000,-4,-2
2000,-5,-1
2000,-4,-2
2000,-5,-2
2000,-4,-1
2000,-5,-1
2000,-4,-2
2000,-3,0
2000,-5,-2
2000,-4,-2
2000,-5,0
2000,-5,-2
2000,-4,-2
2000,-6,-2
2000,-3,-1
2000,-5,-1
2000,-4,-2
2000,-5,-1
2000,-4,-1
2000,-5,-2
2000,-5,-1
2000,-4,-1
2000,-5,-1
2000,-4,-3
2000,-4,-1
2000,-4,-1
2000,-5,-2
2000,-4,-2
2000,-4,-1
2000,-6,-2
2000,-3,-1
2000,-5,-2
2000,-5,-1
2000,-5,-2
2000,-4,-1
2000,-5,-2
2000,-4,-1
2000,-5,-1
2000,-4,-1
2000,-4,-2
2000,-5,-1
2000,-5,-1
2000,-4,-1
2000,-5,-2
2000,-4,-1
2000,-6,-1
2000,-4,-1
2000,-5,-1
2000,-5,-1
2000,-4,-1
2000,-5,-1
2000,-5,-1
2000,-5,-2
2000,-5,-1
2000,-5,-1
2000,-4,-2
2000,-5,-1
2000,-4,0
2000,-5,-2
2000,-4,-2
2000,-4,-1
2000,-4,-1
2000,-4,-2
2000,-4,-1
2000,-5,-1
2000,-4,-1
2000,-4,-2
2000,-4,-1
2000,-4,-1
2000,-4,-1
2000,-4,-2
2000,-4,-1
2000,-4,-1
2000,-3,-2
2000,-4,-1
2000,-4,-1
2000,-6,-1
2000,-1,-2
2000,-4,-3
2000,-4,-1
2000,-3,-1
